target,run,GAT_acc,GAT_auroc,GAT_rg_acc,GAT_rg_auroc,PPGAT_acc,PPGAT_auroc
P22303,4,0.7244444444444444,0.8548543209876542,0.6622222222222223,0.780711111111111,0.7377777777777778,0.8416098765432098
P06276,0,0.7938931297709924,0.9089796631897907,0.7022900763358778,0.7915622632713711,0.7977099236641222,0.9074645999650371
P06276,1,0.8181818181818182,0.9048438934802572,0.7727272727272727,0.8233471074380165,0.7992424242424242,0.9002238292011019
P06276,2,0.7916666666666666,0.9127640036730946,0.7765151515151515,0.8381542699724518,0.7878787878787878,0.905360422405877
P06276,3,0.7824427480916031,0.9245381970747625,0.6221374045801527,0.7832876871977157,0.7175572519083969,0.7948546122020861
P06276,4,0.8181818181818182,0.8865932047750229,0.6856060606060606,0.7879935720844811,0.7954545454545454,0.8990472910927457
P00915,0,0.9110787172011662,0.9786568521619393,0.9416909620991254,0.9762003926935207,0.9169096209912536,0.9711089767018845
P00915,1,0.9491279069767442,0.9805976203353164,0.9491279069767442,0.9816032314764738,0.9244186046511628,0.9820004056246621
P00915,2,0.924198250728863,0.972069460853896,0.9212827988338192,0.9687205161114841,0.8629737609329446,0.9562767214340964
P00915,3,0.934402332361516,0.9837227685743186,0.9139941690962099,0.9567187141412168,0.9256559766763849,0.9679300291545189
P00915,4,0.9591836734693877,0.991338642912392,0.9329446064139941,0.9658305637956975,0.9635568513119533,0.9785633537046639
P34913,0,0.8162650602409639,0.9314849760487733,0.9036144578313253,0.9614965887646972,0.8042168674698795,0.8904412832051096
P34913,1,0.806060606060606,0.9307621671258035,0.8,0.9155922865013774,0.803030303030303,0.9320477502295683
P34913,2,0.8885542168674698,0.967702133836551,0.8734939759036144,0.9451117723907678,0.8283132530120482,0.910182900275802
P34913,3,0.8493975903614458,0.9413557845841195,0.8042168674698795,0.8682319640005807,0.7710843373493976,0.9195093627522137
P34913,4,0.8878787878787879,0.9670890725436179,0.8454545454545455,0.9382920110192837,0.8303030303030303,0.922791551882461
Q13547,0,0.8568548387096774,0.9598887877211238,0.5665322580645161,0.8430671175858482,0.8387096774193549,0.9531575182101979
Q13547,1,0.7479838709677419,0.7432036940686785,0.7278225806451613,0.863082075962539,0.7520161290322581,0.9470278355879292
Q13547,2,0.7419354838709677,0.8291493236212278,0.592741935483871,0.880837018730489,0.9173387096774194,0.9789119406867846
Q13547,3,0.75,0.8654965530697191,0.6532258064516129,0.8832271071800208,0.9133064516129032,0.9851554370447451
Q13547,4,0.9473684210526315,0.9732990214558508,0.7894736842105263,0.8945073677654117,0.8522267206477733,0.9596452982346866
P27487,0,0.9447236180904522,0.9807075578899523,0.8894472361809045,0.954243579707583,0.8618090452261307,0.9616676346556905
P27487,1,0.9242424242424242,0.9671462095704519,0.9191919191919192,0.9622359963269054,0.8939393939393939,0.9683195592286502
P27487,2,0.9292929292929293,0.9605907560453014,0.9343434343434344,0.9564840322416079,0.9217171717171717,0.9579762269156209
P27487,3,0.9246231155778895,0.9540163127193758,0.8743718592964824,0.9544708466957904,0.8869346733668342,0.9436882906997298
P27487,4,0.9296482412060302,0.9633595111234565,0.9422110552763819,0.9664402414080452,0.8793969849246231,0.9534860230802252
