target,run,GAT_acc,GAT_auroc,GAT_rg_acc,GAT_rg_auroc,PPGAT_acc,PPGAT_auroc
P00915,1,0.9604922279792746,0.9879476913521181,0.947538860103627,0.9819353863974014,0.9585492227979274,0.9873492307304913
P00915,2,0.9702072538860104,0.9919982942230237,0.966321243523316,0.9896881080817899,0.9721502590673575,0.9937015528278793
P00915,3,0.9572538860103627,0.9863802224952499,0.9488341968911918,0.9770295809918964,0.9527202072538861,0.9884598212787098
P00915,4,0.9682642487046632,0.9900761680329244,0.9559585492227979,0.9794977408071327,0.9689119170984456,0.9856316340711796
P34913,0,0.9584055459272097,0.9897223223945186,0.9532062391681109,0.9804183195095565,0.9237435008665511,0.9835677365067916
P34913,1,0.925476603119584,0.9701670070887901,0.9358752166377816,0.97538748047579,0.9358752166377816,0.9799831791421362
P34913,2,0.8994800693240901,0.9632780581590963,0.9410745233968805,0.9785508291276136,0.9324090121317158,0.9748017303532804
P34913,3,0.9116117850953206,0.9737708859237889,0.9445407279029463,0.9825880514484914,0.9202772963604853,0.9792643346556077
P34913,4,0.949740034662045,0.9842116646240358,0.92894280762565,0.9736019993751952,0.9168110918544194,0.9671917429649389
Q13547,0,0.9692118226600985,0.9821675026599789,0.9655172413793104,0.9792400060799513,0.9753694581280788,0.9816598267213863
Q13547,1,0.9642857142857143,0.9823511924624,0.9544334975369458,0.9750677983582786,0.9667487684729064,0.9826909426246913
Q13547,2,0.9692118226600985,0.9825708854840375,0.9507389162561576,0.9685365009382573,0.9667487684729064,0.9771174552278235
Q13547,3,0.9556650246305419,0.9826130214273582,0.9679802955665024,0.9823915892159479,0.9642857142857143,0.9813632944259749
Q13547,4,0.9753694581280788,0.9845636808936049,0.9667487684729064,0.9833391067597708,0.9642857142857143,0.975484208159371
P27487,0,0.978448275862069,0.9910404624277456,0.9683908045977011,0.9905904211395541,0.9540229885057471,0.9891742361684559
P27487,1,0.9741379310344828,0.9936787778695293,0.9698275862068966,0.9875681255161024,0.9583333333333334,0.9855284888521882
P27487,2,0.9813218390804598,0.9930058057195863,0.9698275862068966,0.9902478818647873,0.9712643678160919,0.9906247153044069
P27487,3,0.9583333333333334,0.9827356963530656,0.9554597701149425,0.9852751717758985,0.9626436781609196,0.9874471458773785
P27487,4,0.9712643678160919,0.9879483749504558,0.9497126436781609,0.9738778240190249,0.9382183908045977,0.9804135288677501
